Chapitre du thésaurus	Code CIM10	Libellé du thésaurus
Hépato-gastro-entérologie	A04.9	Gastroentérite bactérienne SAI
Hépato-gastro-entérologie	A05.9	Toxi-infection alimentaire SAI
Hépato-gastro-entérologie	A08.4	Gastroentérite virale SAI
Infectiologie générale et cutanée	A38	Scarlatine
Infectiologie générale et cutanée	A41.9	Septicémie SAI
Infectiologie générale et cutanée	A46	Erysipèle
Infectiologie générale et cutanée	A48.0	Gangrène gazeuse
Infectiologie générale et cutanée	A60.0	Herpès génital
Infectiologie générale et cutanée	A69.2	Maladie de Lyme
Neurologie	A87.9	Méningite virale 
Infectiologie générale et cutanée	B00.2	Herpès buccal
Infectiologie générale et cutanée	B01.9	Varicelle SAI
Infectiologie générale et cutanée	B02.9	Zona SAI
Infectiologie générale et cutanée	B05.9	Rougeole SAI
Infectiologie générale et cutanée	B06.9	Rubéole SAI
Infectiologie générale et cutanée	B09	Virose cutanéo-muqueuse SAI
Hépato-gastro-entérologie	B19.9	Hépatite virale SAI
Infectiologie générale et cutanée	B26.9	Oreillons SAI
Infectiologie générale et cutanée	B27.9	M.N.I
Infectiologie générale et cutanée	B34.9	Virose SAI, Syndrôme grippal
Infectiologie générale et cutanée	B37.0	Candidose buccale
Infectiologie générale et cutanée	B37.2	Candidose de la peau ou des ongles
Infectiologie générale et cutanée	B37.3	Candidose vaginale
Infectiologie générale et cutanée	B37.9	Candidose SAI
Infectiologie générale et cutanée	B54	Paludisme SAI
Infectiologie générale et cutanée	B80	Oxyurose
Infectiologie générale et cutanée	B85.2	Pédiculose SAI
Infectiologie générale et cutanée	B86	Gale
Neurologie	C79.3	Métastases cérébrales
Hématologie	C95.0	Leucémie aigüe
Hématologie	D50.0	Anémie chronique ferriprive
Hématologie	D61.9	Aplasie médullaire
Hématologie	D62	Anémie aiguë post-hémorragique 
Hématologie	D64.9	Anémie SAI
Hématologie	D68.9	Trouble de la coagulation SAI
Dermatologie	D69.0	Purpura allergique
Hématologie	D69.2	Purpura thrombopénique idiopathique
Hématologie	D69.6	Thrombopénie SAI
Endocrinologie-Métabolique	E03.9	Hypo thyroïdie 
Endocrinologie-Métabolique	E05.9	Hyper thyroidie SAI
Endocrinologie-Métabolique	E10.0	Coma diabétique insulino-dépendant
Endocrinologie-Métabolique	E10.1	Acidocétose sur diabète insulino-dépendant
Endocrinologie-Métabolique	E10.9	Décompensation d'un diabète insulino-dépendant
Endocrinologie-Métabolique	E11.0	Coma diabétique non insulino-dépendant
Endocrinologie-Métabolique	E11.1	Acidocétose sur diabète non insulino-dépendant
Endocrinologie-Métabolique	E11.9	Décompensation d'un diabète non insulino-dépendant
Endocrinologie-Métabolique	E14.0	Coma diabétique type non précisé
Endocrinologie-Métabolique	E14.1	Acidocétose sur diabète type non précisé
Endocrinologie-Métabolique	E14.9	Décompensation d'un diabète type non précisé
Endocrinologie-Métabolique	E16.2	Hypoglycémie SAI
Endocrinologie-Métabolique	E27.4	Insuff surrénalienne  aiguë
Endocrinologie-Métabolique	E83.5	Hyper calcémie
Endocrinologie-Métabolique	E86	Déshydration 
Endocrinologie-Métabolique	E87.0	Hyper-natrémie
Endocrinologie-Métabolique	E87.1	Hypo-natrémie
Endocrinologie-Métabolique	E87.5	Hyper-kaliémie
Endocrinologie-Métabolique	E87.6	Hypo-kaliémie
Neurologie	F03	Démence SAI
Neurologie	F07.2	Syndrôme post traumatisme crânien
Intoxication et toxicomanie	F10.0	Intoxication éthylique aiguë
Intoxication et toxicomanie	F10.2	Problème de dépendance à une intoxication éthylique chronique
Intoxication et toxicomanie	F10.3	Syndrôme de sevrage sans délirium d'une intoxication alcoolique
Intoxication et toxicomanie	F10.4	Syndrôme de sevrage avec délirium d'une intoxication alcoolique
Intoxication et toxicomanie	F11.0	Intoxication aiguë à l'héroïne, aux opiacés
Intoxication et toxicomanie	F11.2	Problème de dépendance à l'héroïne, aux opiacés
Intoxication et toxicomanie	F11.3	Syndrôme de sevrage sans délirium d'une intoxication à l'héroïne, aux opiacés
Intoxication et toxicomanie	F11.4	Syndrôme de sevrage avec délirium d'une intoxication à l'héroïne, aux opiacés
Intoxication et toxicomanie	F12.0	Intoxication aiguë au cannabis
Intoxication et toxicomanie	F12.2	Problème de dépendance au cannabis
Intoxication et toxicomanie	F12.3	Syndrôme de sevrage sans délirium d'une intoxication au cannabis
Intoxication et toxicomanie	F12.4	Syndrôme de sevrage avec délirium d'une intoxication au cannabis
Intoxication et toxicomanie	F14.0	Intoxication aiguë à la cocaïne
Intoxication et toxicomanie	F14.2	Problème de dépendance à la cocaïne
Intoxication et toxicomanie	F14.3	Syndrôme de sevrage sans délirium d'une intoxication à la cocaïne
Intoxication et toxicomanie	F14.4	Syndrôme de sevrage avec délirium d'une intoxication à la cocaïne
