CIP,C,13	NOM_COURT,C,50	CODE_GRP,N,6,0	NOM_GRP_G,C,124	CODE_ATC,C,10	CLASSE_ATC,C,77	DT_DEB_AFS,D	DT_FIN_AFS,D	DEBUT_REMB,D	FIN_REMB,D
3400921600506	MONTELUKAST PHR 5MG CPR CROQ 28	925	SINGULAIR 5MG CPR	R03DC03	MONTELUKAST	31/05/13		07/02/13	
3400921601916	MONTELUKAST PHR 10MG CPR PELLICULE 28	924	SINGULAIR 10MG CPR	R03DC03	MONTELUKAST	31/05/13		07/02/13	
3400921617535	VALSARTAN/HCTZ CRT 80/12,5MG CPR 30	877	COTAREG 80MG/12,5MG CPR             | NISISCO 80MG/12,5MG CPR	C09DA03	VALSARTAN ET DIURETIQUES	22/03/12		04/11/11	
3400921618075	VALSARTAN/HCTZ CRT 80/12,5MG CPR 90	877	COTAREG 80MG/12,5MG CPR             | NISISCO 80MG/12,5MG CPR	C09DA03	VALSARTAN ET DIURETIQUES	22/03/12		04/11/11	
3400921619195	VALSARTAN/HCTZ CRT 160/12,5MG CPR 30	878	COTAREG 160MG/12,5MG CPR            | NISISCO 160MG/12,5MG CPR	C09DA03	VALSARTAN ET DIURETIQUES	22/03/12		04/11/11	
3400921619546	VALSARTAN/HCTZ CRT 160/12,5MG CPR 90	878	COTAREG 160MG/12,5MG CPR            | NISISCO 160MG/12,5MG CPR	C09DA03	VALSARTAN ET DIURETIQUES	22/03/12		04/11/11	
3400921620726	VALSARTAN/HCTZ CRT 160/25MG CPR 30	879	COTAREG 160MG/25MG CPR              | NISISCO 160MG/25MG CPR	C09DA03	VALSARTAN ET DIURETIQUES	22/03/12		04/11/11	
3400921621266	VALSARTAN/HCTZ CRT 160/25MG CPR 90	879	COTAREG 160MG/25MG CPR              | NISISCO 160MG/25MG CPR	C09DA03	VALSARTAN ET DIURETIQUES	22/03/12		04/11/11	
3400921625929	LEVETIRACETAM TVC 250MG CPR 60	1019	KEPPRA 250MG CPR	N03AX14	LEVETIRACETAM	10/05/12		23/11/11	
3400921626001	LEVETIRACETAM TVC 500MG CPR 60	1020	KEPPRA 500MG CPR	N03AX14	LEVETIRACETAM	10/05/12		23/11/11	
