CIP,C,13	CIP7,C,7	PRIX_F,N,10,0	PRIX_E,N,10,0	FAB_HT_F,N,11,0	FAB_HT_E,N,11,0	TAUX,C,3	DATE_APPLI,D	DATE_JO,D
3400921600506	2160050	0	1689	0	1008	065	07/02/13	06/02/13
3400921601916	2160191	0	1689	0	1008	065	07/02/13	06/02/13
3400921604177	2160417	0	5684	0	4410	065	01/10/13	01/08/13
3400921604177	2160417	0	6084	0	4410	065	01/09/12	10/05/12
3400921604177	2160417	0	6601	0	4884	065	16/04/12	20/12/11
3400921604177	2160417	0	6751	0	4884	065	01/01/12	
3400921604177	2160417	0	6809	0	4884	065	23/11/11	22/11/11
3400921604238	2160423	0	5684	0	4410	065	01/10/13	01/08/13
3400921604238	2160423	0	6084	0	4410	065	01/09/12	10/05/12
3400921604238	2160423	0	6601	0	4884	065	16/04/12	20/12/11
3400921604238	2160423	0	6751	0	4884	065	01/01/12	
3400921604238	2160423	0	6809	0	4884	065	23/11/11	22/11/11
3400921604696	2160469	0	562	0	371	065	07/07/12	06/07/12
3400921604757	2160475	0	282	0	127	065	19/10/13	18/10/13
3400921604818	2160481	0	478	0	253	065	19/10/13	18/10/13
3400921605068	2160506	0	875	0	506	065	19/10/13	18/10/13
3400921605877	2160587	0	526	0	284	065	19/10/13	18/10/13
3400921606010	2160601	0	974	0	567	065	19/10/13	18/10/13
3400921607079	2160707	0	582	0	343	065	01/03/13	14/02/13
3400921607079	2160707	0	630	0	390	065	01/01/12	
3400921607079	2160707	0	638	0	390	065	25/11/11	24/11/11
3400921607598	2160759	0	1057	0	661	065	01/03/13	14/02/13
3400921607598	2160759	0	1155	0	751	065	01/01/12	
3400921607598	2160759	0	1179	0	751	065	25/11/11	24/11/11
3400921607659	2160765	0	1457	0	925	065	01/03/13	14/02/13
3400921607659	2160765	0	1594	0	1051	065	01/01/12	
3400921607659	2160765	0	1629	0	1051	065	25/11/11	24/11/11
3400921607888	2160788	0	282	0	127	065	01/03/13	26/02/13
3400921607888	2160788	0	328	0	153	065	01/03/12	21/02/12
3400921607888	2160788	0	347	0	172	065	01/01/12	
3400921607888	2160788	0	334	0	172	065	19/10/11	18/10/11
3400921607949	2160794	0	478	0	253	065	01/03/13	26/02/13
3400921607949	2160794	0	571	0	306	065	01/03/12	21/02/12
3400921607949	2160794	0	610	0	345	065	01/01/12	
3400921607949	2160794	0	615	0	345	065	19/10/11	18/10/11
3400921608199	2160819	0	875	0	506	065	01/03/13	26/02/13
3400921608199	2160819	0	1069	0	613	065	01/03/12	21/02/12
3400921608199	2160819	0	1152	0	689	065	01/01/12	
3400921608199	2160819	0	1174	0	689	065	19/10/11	18/10/11
3400921609080	2160908	0	86480	0	76107	065	01/10/12	06/12/11
3400921609080	2160908	0	95631	0	84563	065	01/01/12	06/12/11
3400921609080	2160908	0	94087	0	84563	065	07/12/11	
3400921609370	2160937	0	526	0	284	065	01/03/13	26/02/13
3400921609370	2160937	0	629	0	343	065	01/03/12	21/02/12
3400921609370	2160937	0	828	0	486	065	01/01/12	
3400921609370	2160937	0	844	0	486	065	19/10/11	18/10/11
3400921609660	2160966	0	974	0	567	065	01/03/13	26/02/13
3400921609660	2160966	0	1191	0	687	065	01/03/12	21/02/12
3400921609660	2160966	0	1604	0	973	065	01/01/12	
3400921609660	2160966	0	1636	0	973	065	19/10/11	18/10/11
3400921610550	2161055	0	351	0	207	030	09/05/12	08/05/12
3400921611212	2161121	0	282	0	127	065	01/03/13	26/02/13
3400921611212	2161121	0	328	0	153	065	01/03/12	21/02/12
3400921611212	2161121	0	347	0	172	065	01/01/12	
3400921611212	2161121	0	334	0	172	065	04/11/11	03/11/11
3400921611380	2161138	0	478	0	253	065	01/03/13	26/02/13
3400921611380	2161138	0	571	0	306	065	01/03/12	21/02/12
3400921611380	2161138	0	610	0	345	065	01/01/12	
3400921611380	2161138	0	615	0	345	065	04/11/11	03/11/11
3400921611502	2161150	0	875	0	506	065	01/03/13	26/02/13
3400921611502	2161150	0	1069	0	613	065	01/03/12	21/02/12
3400921611502	2161150	0	1152	0	689	065	01/01/12	
3400921611502	2161150	0	1174	0	689	065	04/11/11	03/11/11
3400921612790	2161279	0	2257	0	1625	065	23/03/13	22/03/13
3400921617535	2161753	0	977	0	569	065	01/10/13	12/09/13
3400921617535	2161753	0	1067	0	612	065	01/03/12	16/02/12
3400921617535	2161753	0	1150	0	688	065	01/01/12	
3400921617535	2161753	0	1173	0	688	065	04/11/11	03/11/11
3400921618075	2161807	0	2732	0	1622	065	01/10/13	12/09/13
3400921618075	2161807	0	2981	0	1744	065	01/07/12	
3400921618075	2161807	0	2708	0	1744	065	01/03/12	16/02/12
3400921618075	2161807	0	2945	0	1961	065	01/01/12	
3400921618075	2161807	0	3010	0	1961	065	04/11/11	03/11/11
3400921619195	2161919	0	1216	0	716	065	01/10/13	12/09/13
3400921619195	2161919	0	1329	0	770	065	01/03/12	16/02/12
3400921619195	2161919	0	1433	0	866	065	01/01/12	
3400921619195	2161919	0	1462	0	866	065	04/11/11	03/11/11
3400921619546	2161954	0	3400	0	2041	065	01/10/13	12/09/13
3400921619546	2161954	0	3714	0	2195	065	01/07/12	
3400921619546	2161954	0	3298	0	2195	065	01/03/12	16/02/12
3400921619546	2161954	0	3596	0	2469	065	01/01/12	
3400921619546	2161954	0	3671	0	2469	065	04/11/11	03/11/11
3400921620726	2162072	0	1216	0	716	065	01/10/13	12/09/13
3400921620726	2162072	0	1329	0	770	065	01/03/12	16/02/12
3400921620726	2162072	0	1433	0	866	065	01/01/12	
3400921620726	2162072	0	1462	0	866	065	04/11/11	03/11/11
3400921621266	2162126	0	3400	0	2041	065	01/10/13	12/09/13
3400921621266	2162126	0	3714	0	2195	065	01/07/12	
3400921621266	2162126	0	3298	0	2195	065	01/03/12	16/02/12
3400921621266	2162126	0	3596	0	2469	065	01/01/12	
3400921621266	2162126	0	3671	0	2469	065	04/11/11	03/11/11
3400921622218	2162221	0	526	0	284	065	01/03/13	26/02/13
3400921622218	2162221	0	629	0	343	065	01/03/12	21/02/12
3400921622218	2162221	0	828	0	486	065	01/01/12	
3400921622218	2162221	0	844	0	486	065	04/11/11	03/11/11
3400921622447	2162244	0	974	0	567	065	01/03/13	26/02/13
3400921622447	2162244	0	1191	0	687	065	01/03/12	21/02/12
3400921622447	2162244	0	1604	0	973	065	01/01/12	
3400921622447	2162244	0	1636	0	973	065	04/11/11	03/11/11
3400921623338	2162333	0	282	0	127	065	01/03/13	26/02/13
3400921623338	2162333	0	328	0	153	065	01/03/12	21/02/12
3400921623338	2162333	0	347	0	172	065	01/01/12	
3400921623338	2162333	0	334	0	172	065	04/11/11	03/11/11
3400921623567	2162356	0	478	0	253	065	01/03/13	26/02/13
3400921623567	2162356	0	571	0	306	065	01/03/12	21/02/12
3400921623567	2162356	0	610	0	345	065	01/01/12	
3400921623567	2162356	0	615	0	345	065	04/11/11	03/11/11
3400921623796	2162379	0	875	0	506	065	01/03/13	26/02/13
3400921623796	2162379	0	1069	0	613	065	01/03/12	21/02/12
3400921623796	2162379	0	1152	0	689	065	01/01/12	
3400921623796	2162379	0	1174	0	689	065	04/11/11	03/11/11
3400921625929	2162592	0	1912	0	1279	065	01/04/14	26/09/13
3400921625929	2162592	0	1975	0	1279	065	01/10/13	26/09/13
3400921625929	2162592	0	2070	0	1279	065	31/03/12	02/03/12
3400921625929	2162592	0	2114	0	1279	065	01/01/12	
3400921625929	2162592	0	2156	0	1279	065	23/11/11	22/11/11
3400921626001	2162600	0	3572	0	2557	065	01/04/14	26/09/13
3400921626001	2162600	0	3620	0	2557	065	01/10/13	26/09/13
3400921626001	2162600	0	3709	0	2557	065	31/03/12	02/03/12
3400921626001	2162600	0	3796	0	2557	065	01/01/12	
3400921626001	2162600	0	3870	0	2557	065	23/11/11	22/11/11
3400921626179	2162617	0	6714	0	5115	065	01/04/14	26/09/13
3400921626179	2162617	0	6811	0	5115	065	01/10/13	26/09/13
3400921626179	2162617	0	6988	0	5115	065	31/03/12	02/03/12
3400921626179	2162617	0	7162	0	5115	065	01/01/12	
3400921626179	2162617	0	7219	0	5115	065	23/11/11	22/11/11
3400921626469	2162646	0	526	0	284	065	01/03/13	26/02/13
3400921626469	2162646	0	629	0	343	065	01/03/12	21/02/12
3400921626469	2162646	0	828	0	486	065	01/01/12	
3400921626469	2162646	0	844	0	486	065	04/11/11	03/11/11
3400921626698	2162669	0	974	0	567	065	01/03/13	26/02/13
3400921626698	2162669	0	1191	0	687	065	01/03/12	21/02/12
3400921626698	2162669	0	1604	0	973	065	01/01/12	
3400921626698	2162669	0	1636	0	973	065	04/11/11	03/11/11
3400921627411	2162741	0	282	0	127	065	01/03/13	26/02/13
3400921627411	2162741	0	328	0	153	065	01/03/12	21/02/12
3400921627411	2162741	0	347	0	172	065	01/01/12	
3400921627411	2162741	0	334	0	172	065	04/11/11	03/11/11
3400921627589	2162758	0	478	0	253	065	01/03/13	26/02/13
3400921627589	2162758	0	571	0	306	065	01/03/12	21/02/12
3400921627589	2162758	0	610	0	345	065	01/01/12	
3400921627589	2162758	0	615	0	345	065	04/11/11	03/11/11
3400921627701	2162770	0	875	0	506	065	01/03/13	26/02/13
3400921627701	2162770	0	1069	0	613	065	01/03/12	21/02/12
3400921627701	2162770	0	1152	0	689	065	01/01/12	
3400921627701	2162770	0	1174	0	689	065	04/11/11	03/11/11
3400921628760	2162876	0	526	0	284	065	01/03/13	26/02/13
3400921628760	2162876	0	629	0	343	065	01/03/12	21/02/12
3400921628760	2162876	0	828	0	486	065	01/01/12	
3400921628760	2162876	0	844	0	486	065	04/11/11	03/11/11
3400921628999	2162899	0	974	0	567	065	01/03/13	26/02/13
3400921628999	2162899	0	1191	0	687	065	01/03/12	21/02/12
3400921628999	2162899	0	1604	0	973	065	01/01/12	
3400921628999	2162899	0	1636	0	973	065	04/11/11	03/11/11
3400921629941	2162994	0	282	0	127	065	01/03/13	26/02/13
3400921629941	2162994	0	328	0	153	065	01/03/12	21/02/12
3400921629941	2162994	0	347	0	172	065	01/01/12	
3400921629941	2162994	0	334	0	172	065	04/11/11	03/11/11
3400921630022	2163002	0	478	0	253	065	01/03/13	26/02/13
3400921630022	2163002	0	571	0	306	065	01/03/12	21/02/12
3400921630022	2163002	0	610	0	345	065	01/01/12	
3400921630022	2163002	0	615	0	345	065	04/11/11	03/11/11
3400921630251	2163025	0	875	0	506	065	01/03/13	26/02/13
3400921630251	2163025	0	1069	0	613	065	01/03/12	21/02/12
3400921630251	2163025	0	1152	0	689	065	01/01/12	
3400921630251	2163025	0	1174	0	689	065	04/11/11	03/11/11
3400921632323	2163232	0	526	0	284	065	01/03/13	26/02/13
3400921632323	2163232	0	629	0	343	065	01/03/12	21/02/12
3400921632323	2163232	0	828	0	486	065	01/01/12	
3400921632323	2163232	0	844	0	486	065	04/11/11	03/11/11
3400921632552	2163255	0	974	0	567	065	01/03/13	26/02/13
3400921632552	2163255	0	1191	0	687	065	01/03/12	21/02/12
3400921632552	2163255	0	1604	0	973	065	01/01/12	
3400921632552	2163255	0	1636	0	973	065	04/11/11	03/11/11
3400921633382	2163338	0	282	0	127	065	01/03/13	26/02/13
3400921633382	2163338	0	328	0	153	065	01/03/12	21/02/12
3400921633382	2163338	0	347	0	172	065	01/01/12	
3400921633382	2163338	0	334	0	172	065	19/10/11	18/10/11
3400921633443	2163344	0	478	0	253	065	01/03/13	26/02/13
3400921633443	2163344	0	571	0	306	065	01/03/12	21/02/12
3400921633443	2163344	0	610	0	345	065	01/01/12	
3400921633443	2163344	0	615	0	345	065	19/10/11	18/10/11
3400921633672	2163367	0	875	0	506	065	01/03/13	26/02/13
3400921633672	2163367	0	1069	0	613	065	01/03/12	21/02/12
3400921633672	2163367	0	1152	0	689	065	01/01/12	
3400921633672	2163367	0	1174	0	689	065	19/10/11	18/10/11
3400921634792	2163479	0	526	0	284	065	01/03/13	26/02/13
3400921634792	2163479	0	629	0	343	065	01/03/12	21/02/12
3400921634792	2163479	0	828	0	486	065	01/01/12	
3400921634792	2163479	0	844	0	486	065	19/10/11	18/10/11
3400921634914	2163491	0	974	0	567	065	01/03/13	26/02/13
3400921634914	2163491	0	1191	0	687	065	01/03/12	21/02/12
3400921634914	2163491	0	1604	0	973	065	01/01/12	
3400921634914	2163491	0	1636	0	973	065	19/10/11	18/10/11
3400921636116	2163611	0	6340	0	4651	100	01/10/13	12/09/13
3400921636116	2163611	0	6842	0	5001	100	01/01/12	
3400921636116	2163611	0	6899	0	5001	100	19/10/11	18/10/11
3400921636284	2163628	0	282	0	127	065	01/03/13	26/02/13
3400921636284	2163628	0	328	0	153	065	01/03/12	21/02/12
3400921636284	2163628	0	347	0	172	065	01/01/12	
3400921636284	2163628	0	334	0	172	065	04/11/11	03/11/11
3400921636345	2163634	0	478	0	253	065	01/03/13	26/02/13
3400921636345	2163634	0	571	0	306	065	01/03/12	21/02/12
3400921636345	2163634	0	610	0	345	065	01/01/12	
3400921636345	2163634	0	615	0	345	065	04/11/11	03/11/11
3400921636574	2163657	0	875	0	506	065	01/03/13	26/02/13
3400921636574	2163657	0	1069	0	613	065	01/03/12	21/02/12
3400921636574	2163657	0	1152	0	689	065	01/01/12	
3400921636574	2163657	0	1174	0	689	065	04/11/11	03/11/11
3400921637694	2163769	0	526	0	284	065	01/03/13	26/02/13
3400921637694	2163769	0	629	0	343	065	01/03/12	21/02/12
3400921637694	2163769	0	828	0	486	065	01/01/12	
3400921637694	2163769	0	844	0	486	065	04/11/11	03/11/11
3400921637816	2163781	0	974	0	567	065	01/03/13	26/02/13
3400921637816	2163781	0	1191	0	687	065	01/03/12	21/02/12
3400921637816	2163781	0	1604	0	973	065	01/01/12	
3400921637816	2163781	0	1636	0	973	065	04/11/11	03/11/11
3400921638646	2163864	0	282	0	127	065	01/03/13	26/02/13
3400921638646	2163864	0	328	0	153	065	01/03/12	21/02/12
3400921638646	2163864	0	347	0	172	065	01/01/12	
3400921638646	2163864	0	334	0	172	065	04/11/11	03/11/11
3400921638707	2163870	0	478	0	253	065	01/03/13	26/02/13
3400921638707	2163870	0	571	0	306	065	01/03/12	21/02/12
3400921638707	2163870	0	610	0	345	065	01/01/12	
3400921638707	2163870	0	615	0	345	065	04/11/11	03/11/11
3400921638936	2163893	0	875	0	506	065	01/03/13	26/02/13
3400921638936	2163893	0	1069	0	613	065	01/03/12	21/02/12
3400921638936	2163893	0	1152	0	689	065	01/01/12	
3400921638936	2163893	0	1174	0	689	065	04/11/11	03/11/11
