CIP,C,13	NOM_COURT,C,50	CODE_GRP,N,6,0	NOM_GRP_G,C,124	CODE_ATC,C,10	CLASSE_ATC,C,77	PFHT,N,11,0	PPTTC,N,11,0	TFR,N,10,0	DT_DEB,D	DT_FIN,D
3400921604177	RIBAVIRINE ZEN 200MG CPR 28	0		J05AB04	RIBAVIRINE	4884	6809	5684	01/10/13	
3400921604238	RIBAVIRINE ZEN 400MG CPR 14	0		J05AB04	RIBAVIRINE	4884	6809	5684	01/10/13	
3400921654783	EXEMESTANE RBX 25MG CPR 30	881	AROMASINE 25MG CPR	L02BG06	EXEMESTANE	5279	6719	6719	01/10/13	
3400921689273	PERINDOPRIL EVO 2MG CPR 30	575	COVERSYL 2,5MG CPR                  | PERINDOPRIL SERVIER 2MG CPR	C09AA04	PERINDOPRIL	531	774	774	01/12/13	
3400921689273	PERINDOPRIL EVO 2MG CPR 30	575	COVERSYL 2,5MG CPR                  | PERINDOPRIL SERVIER 2MG CPR	C09AA04	PERINDOPRIL	531	774	901	05/07/12	30/11/13
3400921690682	PERINDOPRIL EVO 4MG CPR 30	579	COVERSYL 5MG CPR                    | PERINDOPRIL SERVIER 4MG CPR	C09AA04	PERINDOPRIL	756	1079	1079	01/12/13	
3400921690682	PERINDOPRIL EVO 4MG CPR 30	579	COVERSYL 5MG CPR                    | PERINDOPRIL SERVIER 4MG CPR	C09AA04	PERINDOPRIL	756	1079	1259	05/07/12	30/11/13
3400921694017	PERINDOPRIL EVO 8MG CPR 30	582	COVERSYL 10MG CPR                   | PERINDOPRIL SERVIER 8MG CPR	C09AA04	PERINDOPRIL	1246	1743	1743	01/12/13	
3400921694017	PERINDOPRIL EVO 8MG CPR 30	582	COVERSYL 10MG CPR                   | PERINDOPRIL SERVIER 8MG CPR	C09AA04	PERINDOPRIL	1246	1743	2042	05/07/12	30/11/13
3400921695656	RIBAVIRINE MYL 200MG CPR 28	0		J05AB04	RIBAVIRINE	4884	6809	5684	01/10/13	
3400921695717	RIBAVIRINE MYL 200MG CPR 42	0		J05AB04	RIBAVIRINE	7326	9952	8311	01/10/13	
3400921695885	RIBAVIRINE MYL 400MG CPR 14	0		J05AB04	RIBAVIRINE	4884	6809	5684	01/10/13	
3400921765717	BENAZEPRIL ACT 5MG CPR 30	690	BRIEM 5MG CPR                       | CIBACENE 5MG CPR	C09AA07	BENAZEPRIL	324	502	502	01/12/13	
3400921765717	BENAZEPRIL ACT 5MG CPR 30	690	BRIEM 5MG CPR                       | CIBACENE 5MG CPR	C09AA07	BENAZEPRIL	324	502	606	07/03/12	30/11/13
3400921766196	BENAZEPRIL ACT 5MG CPR 90	0		C09AA07	BENAZEPRIL	923	1385	1385	01/12/13	
3400921766196	BENAZEPRIL ACT 5MG CPR 90	0		C09AA07	BENAZEPRIL	923	1385	1693	01/07/12	30/11/13
3400921766196	BENAZEPRIL ACT 5MG CPR 90	0		C09AA07	BENAZEPRIL	923	1385	1617	07/03/12	30/06/12
3400921766608	BENAZEPRIL ACT 5MG CPR 30	0		C09AA07	BENAZEPRIL	324	502	502	01/12/13	
3400921766608	BENAZEPRIL ACT 5MG CPR 30	0		C09AA07	BENAZEPRIL	324	502	606	07/03/12	30/11/13
3400921767148	BENAZEPRIL ACT 5MG CPR 90	0		C09AA07	BENAZEPRIL	923	1385	1385	01/12/13	
3400921767148	BENAZEPRIL ACT 5MG CPR 90	0		C09AA07	BENAZEPRIL	923	1385	1693	01/07/12	30/11/13
3400921767148	BENAZEPRIL ACT 5MG CPR 90	0		C09AA07	BENAZEPRIL	923	1385	1617	07/03/12	30/06/12
3400921767728	BENAZEPRIL ACT 10MG CPR 30	689	BRIEM 10MG CPR                      | CIBACENE 10MG CPR	C09AA07	BENAZEPRIL	539	785	785	01/12/13	
3400921767728	BENAZEPRIL ACT 10MG CPR 30	689	BRIEM 10MG CPR                      | CIBACENE 10MG CPR	C09AA07	BENAZEPRIL	539	785	968	07/03/12	30/11/13
3400921768268	BENAZEPRIL ACT 10MG CPR 90	689	BRIEM 10MG CPR                      | CIBACENE 10MG CPR	C09AA07	BENAZEPRIL	1536	2207	2207	01/12/13	
3400921768268	BENAZEPRIL ACT 10MG CPR 90	689	BRIEM 10MG CPR                      | CIBACENE 10MG CPR	C09AA07	BENAZEPRIL	1536	2207	2723	01/07/12	30/11/13
3400921768268	BENAZEPRIL ACT 10MG CPR 90	689	BRIEM 10MG CPR                      | CIBACENE 10MG CPR	C09AA07	BENAZEPRIL	1536	2207	2658	07/03/12	30/06/12
3400921768787	BENAZEPRIL ACT 10MG CPR 30	0		C09AA07	BENAZEPRIL	539	785	785	01/12/13	
3400921768787	BENAZEPRIL ACT 10MG CPR 30	0		C09AA07	BENAZEPRIL	539	785	968	07/03/12	30/11/13
3400921769159	BENAZEPRIL ACT 10MG CPR 90	0		C09AA07	BENAZEPRIL	1536	2207	2207	01/12/13	
3400921769159	BENAZEPRIL ACT 10MG CPR 90	0		C09AA07	BENAZEPRIL	1536	2207	2723	01/07/12	30/11/13
3400921769159	BENAZEPRIL ACT 10MG CPR 90	0		C09AA07	BENAZEPRIL	1536	2207	2658	07/03/12	30/06/12
3400921769678	BENAZEPRIL HCTZ ACT 10/12,5MG CPR 30	0		C09BA07	BENAZEPRIL ET DIURETIQUES	539	785	785	01/10/13	
3400921770278	BENAZEPRIL HCTZ ACT 10/12,5MG CPR 90	0		C09BA07	BENAZEPRIL ET DIURETIQUES	1536	2207	2207	01/10/13	
3400921770858	BENAZEPRIL HCTZ ACT 10/12,5MG CPR 30	0		C09BA07	BENAZEPRIL ET DIURETIQUES	539	785	785	01/10/13	
3400921771398	BENAZEPRIL HCTZ ACT 10/12,5MG CPR 90	0		C09BA07	BENAZEPRIL ET DIURETIQUES	1536	2207	2207	01/10/13	
3400921792102	EXEMESTANE ZENTIVA 25MG 1 BOITE DE 30, COMPRIMES P	0				5279	6719	6719	08/11/13	
3400921809633	DORZOLAMIDE TIMOLOL ZEN COLLYRE 5ML 1/5 ML	0		S01ED51	TIMOLOL EN ASSOCIATION	553	804	804	01/11/13	
3400921811414	DORZOLAMIDE CHV 20MG/ML CY5ML 1/5 ML	810	TRUSOPT 20 MG/ML COLLYRE FL 5ML	S01EC03	DORZOLAMIDE	435	645	645	01/11/13	
3400921947878	LISINOPRIL PFZ 5MG CPR  90	0		C09AA03	LISINOPRIL	787	1202	1202	01/07/12	
3400921947878	LISINOPRIL PFZ 5MG CPR  90	0		C09AA03	LISINOPRIL	787	1202	1121	08/03/12	30/06/12
3400921957754	BICALUTAMIDE ZYD 50MG CPR 30	0		L02BB03	BICALUTAMIDE	4289	5540	5540	01/12/13	
3400921957754	BICALUTAMIDE ZYD 50MG CPR 30	0		L02BB03	BICALUTAMIDE	4289	5540	7242	08/03/12	30/11/13
3400921959536	DORZOLAMIDE TIMOLOL EG COLLYRE 5ML 1/5 ML	849	COSOPT 20MG/5MG/ML COLLYRE FL 5ML	S01ED51	TIMOLOL EN ASSOCIATION	553	804	804	01/11/13	
3400921997156	PRAMIPEXOLE ACC 0,18MG CPR 30	0		N04BC05	PRAMIPEXOLE	431	640	640	01/10/13	
3400921997385	PRAMIPEXOLE ACC 0,7MG CPR 30	0		N04BC05	PRAMIPEXOLE	1722	2389	2389	01/10/13	
3400922032108	GABAPENTINE SDZ 600MG CPR 90	634	NEURONTIN 600MG CPR	N03AX12	GABAPENTINE	3302	4364	4364	01/12/13	
3400922032108	GABAPENTINE SDZ 600MG CPR 90	634	NEURONTIN 600MG CPR	N03AX12	GABAPENTINE	3302	4364	5059	08/03/12	30/11/13
3400922032337	GABAPENTINE SDZ 800MG CPR 90	395	NEURONTIN 800MG CPR	N03AX12	GABAPENTINE	4145	5368	5368	01/12/13	
3400922032337	GABAPENTINE SDZ 800MG CPR 90	395	NEURONTIN 800MG CPR	N03AX12	GABAPENTINE	4145	5368	6239	08/03/12	30/11/13
3400922033396	LOVAPHARM 30/150MCG CPR 21	0		G03AA07	LEVONORGESTREL ET ESTROGENE	120	239	239	09/11/12	
3400922033457	LOVAPHARM 30/150MCG CPR 21	0		G03AA07	LEVONORGESTREL ET ESTROGENE	327	506	506	09/11/12	
3400922091297	DORZOLAMIDE TIMOLOL BGA COLLYRE 5ML 1/5 ML	849	COSOPT 20MG/5MG/ML COLLYRE FL 5ML	S01ED51	TIMOLOL EN ASSOCIATION	553	804	804	01/11/13	
3400922092829	BUDESONIDE MYL 0,5MG/2ML SUSP INH 20/2 ML	303	PULMICORT 0,5MG/2ML SUSP INHAL	R03BA02	BUDESONIDE	1950	2698	2698	05/07/12	
3400922092997	BUDESONIDE MYL 1MG/2ML SUSP INH 20/2 ML	304	PULMICORT 1MG/2ML SUSP INHAL	R03BA02	BUDESONIDE	2766	3726	3726	05/07/12	
3400922226736	PRAMIPEXOLE ACC 0,18MG CPR 100	0		N04BC05	PRAMIPEXOLE	1436	2001	2001	01/10/13	
3400922227047	PRAMIPEXOLE ACC 0,7MG CPR 100	0		N04BC05	PRAMIPEXOLE	5738	7266	7266	01/10/13	
3400922232188	ACARBOSE TEVA 50MG CPR 90	850	GLUCOR 50MG CPR	A10BF01	ACARBOSE	872	1236	1236	01/10/13	
3400922233888	ACARBOSE TEVA 100MG CPR 90	851	GLUCOR 100MG CPR	A10BF01	ACARBOSE	1187	1663	1663	01/10/13	
3400922258034	BISOPROLOL ZTL 2,5MG CPR 30	550	CARDENSIEL 2,5MG CPR                | CARDIOCOR 2,5MG CPR	C07AB07	BISOPROLOL	426	633	633	01/12/13	
3400922258034	BISOPROLOL ZTL 2,5MG CPR 30	550	CARDENSIEL 2,5MG CPR                | CARDIOCOR 2,5MG CPR	C07AB07	BISOPROLOL	426	633	873	03/08/12	30/11/13
3400922258324	BUDESONIDE EVOLUGEN 0,5 MG/2 ML 1 BOITE DE 20, SUS	0				1950	2698	2698	30/01/14	
3400922258492	BUDESONIDE EVOLUGEN 1 MG/2 ML 1 BOITE DE 20, SUSPE	0				2766	3726	3726	30/01/14	
3400922268149	RIBAVIRINE ZYDUS FRANCE 200 MG 1 BOITE DE 84, COMP	0				13230	16191	16191	01/10/13	
3400922296753	BISOPROLOL AHL 2,5MG CPR 30	550	CARDENSIEL 2,5MG CPR                | CARDIOCOR 2,5MG CPR	C07AB07	BISOPROLOL	426	633	633	01/12/13	
3400922296753	BISOPROLOL AHL 2,5MG CPR 30	550	CARDENSIEL 2,5MG CPR                | CARDIOCOR 2,5MG CPR	C07AB07	BISOPROLOL	426	633	873	27/10/12	30/11/13
3400922297125	BISOPROLOL AHL 2,5MG CPR 90	550	CARDENSIEL 2,5MG CPR                | CARDIOCOR 2,5MG CPR	C07AB07	BISOPROLOL	1213	1774	1774	01/12/13	
3400922297125	BISOPROLOL AHL 2,5MG CPR 90	550	CARDENSIEL 2,5MG CPR                | CARDIOCOR 2,5MG CPR	C07AB07	BISOPROLOL	1213	1774	2455	27/10/12	30/11/13
3400922301938	FENTANYL MYL 12MICROG/H DISP TRANSD 5	0		N02AB03	FENTANYL	990	1396	1396	01/12/13	
