CIP,C,13	NOM_COURT,C,50	DT_EFFET,D	GEN_IND,C,1	CODE_GRP,N,6,0	NOM_GRP_G,C,124	CODE_ATC,C,10	CLASSE_ATC,C,77
3400921600506	MONTELUKAST PHR 5MG CPR CROQ 28	31/05/13	1	925	SINGULAIR 5MG CPR	R03DC03	MONTELUKAST
3400921601916	MONTELUKAST PHR 10MG CPR PELLICULE 28	31/05/13	1	924	SINGULAIR 10MG CPR	R03DC03	MONTELUKAST
3400921604177	RIBAVIRINE ZEN 200MG CPR 28	23/11/11	0	0		J05AB04	RIBAVIRINE
3400921604238	RIBAVIRINE ZEN 400MG CPR 14	23/11/11	0	0		J05AB04	RIBAVIRINE
3400921604696	YELLOX 0,9MG/ML COLLY FL5ML 1/5 ML	07/07/12	0	0		S01BC11	BROMFENAC
3400921604757	ESOMEPRAZOLE RPG 20 MG 1 BOITE DE 7, COMPRIMES GAS	19/10/13	0	0			
3400921604818	ESOMEPRAZOLE RPG 20 MG 1 BOITE DE 14, COMPRIMES GA	19/10/13	0	0			
3400921605068	ESOMEPRAZOLE RPG 20 MG 1 BOITE DE 28, COMPRIMES GA	19/10/13	0	0			
3400921605877	ESOMEPRAZOLE RPG 40 MG 1 BOITE DE 14, COMPRIMES GA	19/10/13	0	0			
3400921606010	ESOMEPRAZOLE RPG 40 MG 1 BOITE DE 28, COMPRIMES GA	19/10/13	0	0			
3400921607079	CLARITHROMYCINE PFZ 250MG CPR 10	25/11/11	0	0		J01FA09	CLARITHROMYCINE
3400921607598	CLARITHROMYCINE PFZ 500MG CPR 10	25/11/11	0	0		J01FA09	CLARITHROMYCINE
3400921607659	CLARITHROMYCINE PFZ 500MG CPR 14	25/11/11	0	0		J01FA09	CLARITHROMYCINE
3400921607888	ESOMEPRAZOLE BGA 20MG CPR 7	19/10/11	0	0		A02BC05	ESOMEPRAZOLE
3400921607949	ESOMEPRAZOLE BGA 20MG CPR 14	19/10/11	0	0		A02BC05	ESOMEPRAZOLE
3400921608199	ESOMEPRAZOLE BGA 20MG CPR 28	19/10/11	0	0		A02BC05	ESOMEPRAZOLE
3400921609080	AVONEX 0,03MG/0,5ML SOL INJ STYLO 4	07/12/11	0	0		L03AB07	INTERFERON BETA-1A
3400921609370	ESOMEPRAZOLE BGA 40MG CPR 14	19/10/11	0	0		A02BC05	ESOMEPRAZOLE
3400921609660	ESOMEPRAZOLE BGA 40MG CPR 28	19/10/11	0	0		A02BC05	ESOMEPRAZOLE
3400921610550	POLYGYNAX VIRGO CAPSULE VAGINALE 6	09/05/12	0	0		G01AA51	NYSTATINE EN ASSOCIATION
3400921611212	ESOMEPRAZOLE TEVA PHARMA 20MG CPR 7	04/11/11	0	0		A02BC05	ESOMEPRAZOLE
3400921611380	ESOMEPRAZOLE TEVA PHARMA 20MG CPR 14	04/11/11	0	0		A02BC05	ESOMEPRAZOLE
3400921611502	ESOMEPRAZOLE TEVA PHARMA 20MG CPR 28	04/11/11	0	0		A02BC05	ESOMEPRAZOLE
3400921612790	LHRH FERRING 0,1MG/1ML SOL INJ AMP 1/1 ML	23/03/13	0	0		V04CM01	GONADORELINE
3400921617535	VALSARTAN/HCTZ CRT 80/12,5MG CPR 30	22/03/12	1	877	COTAREG 80MG/12,5MG CPR             | NISISCO 80MG/12,5MG CPR	C09DA03	VALSARTAN ET DIURETIQUES
3400921618075	VALSARTAN/HCTZ CRT 80/12,5MG CPR 90	22/03/12	1	877	COTAREG 80MG/12,5MG CPR             | NISISCO 80MG/12,5MG CPR	C09DA03	VALSARTAN ET DIURETIQUES
3400921619195	VALSARTAN/HCTZ CRT 160/12,5MG CPR 30	22/03/12	1	878	COTAREG 160MG/12,5MG CPR            | NISISCO 160MG/12,5MG CPR	C09DA03	VALSARTAN ET DIURETIQUES
3400921619546	VALSARTAN/HCTZ CRT 160/12,5MG CPR 90	22/03/12	1	878	COTAREG 160MG/12,5MG CPR            | NISISCO 160MG/12,5MG CPR	C09DA03	VALSARTAN ET DIURETIQUES
3400921620726	VALSARTAN/HCTZ CRT 160/25MG CPR 30	22/03/12	1	879	COTAREG 160MG/25MG CPR              | NISISCO 160MG/25MG CPR	C09DA03	VALSARTAN ET DIURETIQUES
3400921621266	VALSARTAN/HCTZ CRT 160/25MG CPR 90	22/03/12	1	879	COTAREG 160MG/25MG CPR              | NISISCO 160MG/25MG CPR	C09DA03	VALSARTAN ET DIURETIQUES
3400921622218	ESOMEPRAZOLE TEVA PHARMA 40MG CPR 14	04/11/11	0	0		A02BC05	ESOMEPRAZOLE
3400921622447	ESOMEPRAZOLE TEVA PHARMA 40MG CPR 28	04/11/11	0	0		A02BC05	ESOMEPRAZOLE
3400921623338	ESOMEPRAZOLE MYPLIX 20MG CPR 7	04/11/11	0	0		A02BC05	ESOMEPRAZOLE
3400921623567	ESOMEPRAZOLE MYPLIX 20MG CPR 14	04/11/11	0	0		A02BC05	ESOMEPRAZOLE
3400921623796	ESOMEPRAZOLE MYPLIX 20MG CPR 28	04/11/11	0	0		A02BC05	ESOMEPRAZOLE
3400921625929	LEVETIRACETAM TVC 250MG CPR 60	10/05/12	1	1019	KEPPRA 250MG CPR	N03AX14	LEVETIRACETAM
3400921626001	LEVETIRACETAM TVC 500MG CPR 60	10/05/12	1	1020	KEPPRA 500MG CPR	N03AX14	LEVETIRACETAM
3400921626179	LEVETIRACETAM TVC 1000MG CPR 60	10/05/12	1	1021	KEPPRA 1000MG CPR	N03AX14	LEVETIRACETAM
3400921626469	ESOMEPRAZOLE MYPLIX 40MG CPR 14	04/11/11	0	0		A02BC05	ESOMEPRAZOLE
3400921626698	ESOMEPRAZOLE MYPLIX 40MG CPR 28	04/11/11	0	0		A02BC05	ESOMEPRAZOLE
3400921627411	ESOMEPRAZOLE REF 20 MG 1 BOITE DE 7, COMPRIMES GAS	04/11/11	0	0			
3400921627589	ESOMEPRAZOLE REF 20 MG 1 BOITE DE 14, COMPRIMES GA	04/11/11	0	0			
3400921627701	ESOMEPRAZOLE REF 20 MG 1 BOITE DE 28, COMPRIMES GA	04/11/11	0	0			
3400921628760	ESOMEPRAZOLE REF 40 MG 1 BOITE DE 14, COMPRIMES GA	04/11/11	0	0			
3400921628999	ESOMEPRAZOLE REF 40 MG 1 BOITE DE 28, COMPRIMES GA	04/11/11	0	0			
3400921629941	ESOMEPRAZOLE ALTISO 20MG CPR 7	04/11/11	0	0		A02BC05	ESOMEPRAZOLE
3400921630022	ESOMEPRAZOLE ALTISO 20MG CPR 14	04/11/11	0	0		A02BC05	ESOMEPRAZOLE
3400921630251	ESOMEPRAZOLE ALTISO 20MG CPR 28	04/11/11	0	0		A02BC05	ESOMEPRAZOLE
3400921632323	ESOMEPRAZOLE ALTISO 40MG CPR 14	04/11/11	0	0		A02BC05	ESOMEPRAZOLE
3400921632552	ESOMEPRAZOLE ALTISO 40MG CPR 28	04/11/11	0	0		A02BC05	ESOMEPRAZOLE
3400921633382	ESOMEPRAZOLE ARW 20MG CPR 7	22/03/12	1	944	INEXIUM 20MG CPR	A02BC05	ESOMEPRAZOLE
3400921633443	ESOMEPRAZOLE ARW 20MG CPR 14	22/03/12	1	944	INEXIUM 20MG CPR	A02BC05	ESOMEPRAZOLE
3400921633672	ESOMEPRAZOLE ARW 20MG CPR 28	22/03/12	1	944	INEXIUM 20MG CPR	A02BC05	ESOMEPRAZOLE
3400921634792	ESOMEPRAZOLE ARW 40MG CPR 14	22/03/12	1	945	INEXIUM 40MG CPR	A02BC05	ESOMEPRAZOLE
3400921634914	ESOMEPRAZOLE ARW 40MG CPR 28	22/03/12	1	945	INEXIUM 40MG CPR	A02BC05	ESOMEPRAZOLE
3400921636116	LETROZOLE CRT 2,5MG CPR 30	22/03/12	1	882	FEMARA 2,5MG CPR	L02BG04	LETROZOLE
3400921636284	ESOCIFAR 20MG CPR GASTRO 7	04/11/11	0	0		A02BC05	ESOMEPRAZOLE
3400921636345	ESOCIFAR 20MG CPR GASTRO 14	04/11/11	0	0		A02BC05	ESOMEPRAZOLE
3400921636574	ESOCIFAR 20MG CPR GASTRO 28	04/11/11	0	0		A02BC05	ESOMEPRAZOLE
3400921637694	ESOCIFAR 40 MG GU CPR 14	04/11/11	0	0		A02BC05	ESOMEPRAZOLE
3400921637816	ESOCIFAR 40 MG GU CPR 28	04/11/11	0	0		A02BC05	ESOMEPRAZOLE
3400921638646	ZOLPRAZE 20MG CPR GASTRO 7	04/11/11	0	0		A02BC05	ESOMEPRAZOLE
3400921638707	ZOLPRAZE 20MG CPR GASTRO 14	04/11/11	0	0		A02BC05	ESOMEPRAZOLE
3400921638936	ZOLPRAZE 20MG CPR GASTRO 28	04/11/11	0	0		A02BC05	ESOMEPRAZOLE
3400921639995	ZOLPRAZE 40MG CPR GASTRO 14	04/11/11	0	0		A02BC05	ESOMEPRAZOLE
3400921640137	ZOLPRAZE 40MG CPR GASTRO 28	04/11/11	0	0		A02BC05	ESOMEPRAZOLE
3400921643497	LOSARTAN HCTZ MYP 100/12,5MG CPR 28	22/03/12	1	821	FORTZAAR 100MG/12,5MG CPR	C09DA01	LOSARTAN ET DIURETIQUES
3400921644098	LOSARTAN HCTZ MYP 100/12,5MG CPR 90	22/03/12	1	821	FORTZAAR 100MG/12,5MG CPR	C09DA01	LOSARTAN ET DIURETIQUES
3400921650181	ATORVASTATINE ZEN 80MG CPR 30	10/05/12	1	898	TAHOR 80MG CPR	C10AA05	ATORVASTATINE
3400921650471	ATORVASTATINE ZEN 80MG CPR 90	10/05/12	1	898	TAHOR 80MG CPR	C10AA05	ATORVASTATINE
3400921650990	ATORVASTATINE ZEN 10MG CPR 30	10/05/12	1	895	TAHOR 10MG CPR                      | TAHOR 10MG CPR CROQ	C10AA05	ATORVASTATINE
3400921651362	ATORVASTATINE ZEN 10MG CPR 90	10/05/12	1	895	TAHOR 10MG CPR                      | TAHOR 10MG CPR CROQ	C10AA05	ATORVASTATINE
