code,C,7	libelle,C,128
A	VOIES DIGESTIVES ET METABOLISME
A01	PREPARATIONS STOMATOLOGIQUES
A01A	PREPARATIONS STOMATOLOGIQUES
A01AA	MEDICAMENTS PROPHYLACTIQUES ANTICARIES
A01AA01	SODIUM FLUORURE
A01AA02	SODIUM MONOFLUOROPHOSPHATE
A01AA03	OLAFLUR
A01AA04	ETAIN FLUORURE
A01AA30	ASSOCIATIONS
A01AA51	SODIUM FLUORURE EN ASSOCIATION
A01AB	ANTIINFECTIEUX POUR TRAITEMENT ORAL LOCAL
A01AB02	HYDROGENE PEROXYDE
A01AB03	CHLORHEXIDINE
A01AB04	AMPHOTERICINE B
A01AB05	POLYNOXYLINE
A01AB06	DOMIPHENE
A01AB07	HYDROXY 8 QUINOLEINE
A01AB08	NEOMYCINE
A01AB09	MICONAZOLE
A01AB10	NATAMYCINE
A01AB11	DIVERS
A01AB12	HEXETIDINE
A01AB13	TETRACYCLINE
A01AB14	BENZOXONIUM CHLORURE
A01AB15	TIBEZONIUM IODURE
A01AB16	MEPARTRICINE
A01AB17	METRONIDAZOLE
A01AB18	CLOTRIMAZOLE
A01AB19	SODIUM PERBORATE
A01AB21	CHLORTETRACYCLINE
A01AB22	DOXYCYCLINE
A01AB23	MINOCYCLINE
A01AC	CORTICOIDES POUR TRAITEMENT ORAL LOCAL
A01AC01	TRIAMCINOLONE
A01AC02	DEXAMETHASONE
A01AC03	HYDROCORTISONE
A01AC54	PREDNISOLONE EN ASSOCIATION
A01AD	AUTRES MEDICAMENTS POUR TRAITEMENT ORAL LOCAL
A01AD01	EPINEPHRINE
A01AD02	BENZYDAMINE
A01AD05	ACETYLSALICYLIQUE ACIDE
A01AD06	ADRENALONE
A01AD07	AMLEXANOX
A01AD08	BECAPLERMIN
A01AD11	DIVERS
A02	MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE
A02A	ANTIACIDES
A02AA	ANTIACIDES A BASE DE MAGNESIUM
A02AA01	MAGNESIUM CARBONATE
A02AA02	MAGNESIUM OXYDE
A02AA03	MAGNESIUM PEROXYDE
A02AA04	MAGNESIUM HYDROXYDE
A02AA05	MAGNESIUM SILICATE
A02AA10	ASSOCIATIONS
A02AB	ANTIACIDES A BASE D'ALUMINIUM
A02AB01	ALUMINIUM HYDROXYDE
A02AB02	ALGELDRATE
