"code régime";"caisse gestionnaire";"centre gestionnaire";"libellé";"régime";"organisme destinataire";"code centre informatique";"adresse 1";"adresse 2";"commune";"code postal";"cédex";"téléphone";"fax"
"01";"011";"0000";"BOURG EN BRESSE";"Régime Général";"011";"016";"Place de la Grenouillère";"";"BOURG en BRESSE";"01015";"CEDEX";"08 20 90 41 22";"04 74 45 84 90"
"01";"021";"0000";"LAON";"Régime Général";"021";"011";"2 rue Charles Péguy";"";"LAON";"02009";"CEDEX";"0 820 904 229";"03 23 26 23 16"
"01";"022";"0000";"ST QUENTIN";"Régime Général";"022";"011";"29, Boulevard Roosevelt";"BP 606";"SAINT QUENTIN";"02323";"CEDEX";"03 23 08 41 41";""
"01";"031";"0000";"MOULINS";"Régime Général";"031";"016";"9-11, Rue Achille Roche";"";"MOULINS";"03010";"CEDEX";"04 70 48 37 00";""
"01";"041";"0000";"DIGNE";"Régime Général";"041";"021";"3, Rue Alphonse Richard";"";"DIGNE les BAINS";"04010";"CEDEX";"04 92 30 24 43";"04 92 30 24 45"
"01";"051";"0000";"GAP";"Régime Général";"051";"021";"10, Boulevard G. Pompidou";"";"GAP";"05012";"CEDEX";"04 92 53 11 91";"04.92.51.38.70"
"01";"061";"0000";"NICE";"Régime Général";"061";"021";"48 Av. Roi Robert Comte de Provence";"";"NICE";"06100";"";"04 92 09 40 00";"04 93 98 02 42"
"01";"071";"0000";"ANNONAY";"Régime Général";"071";"016";"27, Avenue de l'Europe";"";"ANNONAY";"07108";"CEDEX";"04 75 69 13 24";"04 75 67 07 78"
"01";"072";"0000";"PRIVAS";"Régime Général";"072";"016";"6, Avenue de l'Europe Unie";"";"PRIVAS";"07007";"CEDEX";"04 75 66 52 22";"04 75 66 52 09"
"01";"081";"0000";"CHARLEVILLE MEZIERES";"Régime Général";"081";"013";"14, Avenue G. Corneau";"";"CHARLEVILLE MEZIERES";"08101";"CEDEX";"0 820 904 148";""
"01";"091";"0000";"FOIX";"Régime Général";"091";"002";"1, Avenue de Sibian";"";"FOIX";"09015";"CEDEX";"05 61 65 74 00";"05 61 02 92 99"
"01";"101";"0000";"TROYES";"Régime Général";"101";"013";"113, Rue Etienne Pédron";"BP 500";"TROYES";"10030";"CEDEX";"03 25 76 41 41";""
"01";"111";"0000";"CARCASSONNE";"Régime Général";"111";"002";"2, Allée de Bezons";"";"CARCASSONNE";"11017";"CEDEX 9";"04 68 77 76 00";""
"01";"121";"0000";"RODEZ";"Régime Général";"121";"002";"Avenue de Bamberg";"";"RODEZ";"12020";"CEDEX 9";"05 65 77 60 00";""
